n,pos,pos_rate,tp,fp,fn,tn,precision,recall,f1,ap,brier,pred_pos,pred_rate,slice_var,slice_value,delta_f1_global,fp_rate_among_neg,fn_rate_among_pos
269,67,0.2490706319702602,45,98,22,104,0.3146853146853147,0.6716417910447762,0.4285714285714285,0.5064871408475282,0.170016108497172,143,0.5315985130111525,reason_group,MISSING,-0.1462681092976344,0.4851485148514851,0.3283582089552239
107,36,0.3364485981308411,34,57,2,14,0.3736263736263736,0.9444444444444444,0.5354330708661418,0.7574784049935765,0.1753899986433709,91,0.8504672897196262,reason_group,NATURAL CALAMITY,-0.0394064670029211,0.8028169014084507,0.0555555555555555
324,113,0.3487654320987654,90,112,23,99,0.4455445544554455,0.7964601769911505,0.5714285714285714,0.5501393426444091,0.2074128251588426,202,0.6234567901234568,reason_group,"PATCHCORD, PIGTAIL, COOPLER DAMAGED",-0.0034109664404915,0.5308056872037915,0.2035398230088495
973,275,0.2826310380267214,203,279,72,419,0.4211618257261411,0.7381818181818182,0.5363276089828269,0.5853642505555533,0.1654551585759102,482,0.4953751284686536,reason_group,PEOPLE DAMAGE CABLE,-0.038511928886236,0.3997134670487106,0.2618181818181818
84,29,0.3452380952380952,29,27,0,28,0.5178571428571429,1.0,0.6823529411764706,0.7951284335620357,0.1398915176287069,56,0.6666666666666666,reason_group,PEOPLE PRUNED TREES AND CUT CABLE,0.1075134033074076,0.4909090909090909,0.0
64,14,0.21875,10,23,4,27,0.303030303030303,0.7142857142857143,0.425531914893617,0.4973834065528417,0.1595527199815975,33,0.515625,reason_group,PEOPLE STOLEN OUR HADWARE OF FIBER CABLE,-0.1493076229754459,0.46,0.2857142857142857
162,40,0.2469135802469135,36,56,4,66,0.391304347826087,0.9,0.5454545454545454,0.7110326356190774,0.1276938534122243,92,0.5679012345679012,reason_group,POLE FELL DOWN,-0.0293849924145175,0.4590163934426229,0.1
180,51,0.2833333333333333,46,84,5,45,0.3538461538461538,0.9019607843137256,0.5082872928176796,0.5347256830979986,0.1826826082540202,130,0.7222222222222222,reason_group,TICKET WRONG,-0.0665522450513833,0.6511627906976745,0.0980392156862745
146,35,0.2397260273972602,32,59,3,52,0.3516483516483517,0.9142857142857144,0.5079365079365079,0.6660483667556072,0.138444308658971,91,0.6232876712328768,reason_group,TREE FELL DOWN OVER CABLE,-0.066903029932555,0.5315315315315315,0.0857142857142857
1145,327,0.285589519650655,213,207,114,611,0.5071428571428571,0.6513761467889908,0.570281124497992,0.7213254006973366,0.1375309332573316,420,0.3668122270742358,year,2024,-0.0045584133710709,0.2530562347188264,0.3486238532110092
