alarm_record_id,snapshot_time,severity,alarm_source_type,branch_candidate,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,clearance_status,acknowledgment_status,maintenance_status,reason_group_candidate,candidate_risk_score
alarm_00099,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00100,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00101,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00102,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00103,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00104,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00105,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00106,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00107,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00108,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-19 00:06:40,2017-12-19 00:06:40,73409.84416666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
