alarm_record_id,data_source,snapshot_time,severity,alarm_source_id,alarm_source_type,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,port_admin_status,clearance_status,acknowledgment_status,maintenance_status,candidate_risk_score,reason_group_candidate
alarm_00059,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:24,2017-12-15 00:45:24,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00060,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:25,2017-12-15 00:45:25,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00061,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:26,2017-12-15 00:45:26,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00062,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:27,2017-12-15 00:45:27,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00063,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:28,2017-12-15 00:45:28,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00064,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:29,2017-12-15 00:45:29,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00065,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:30,2017-12-15 00:45:30,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00066,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:31,2017-12-15 00:45:31,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00067,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:32,2017-12-15 00:45:32,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00068,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:33,2017-12-15 00:45:33,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00069,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:34,2017-12-15 00:45:34,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00070,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:36,2017-12-15 00:45:36,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00071,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:37,2017-12-15 00:45:37,73505.2,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00072,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:38,2017-12-15 00:45:38,73505.19,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00073,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:39,2017-12-15 00:45:39,73505.19,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00074,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-15 00:45:40,2017-12-15 00:45:40,73505.19,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00075,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:10,2017-12-15 02:22:10,73503.59,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00076,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:11,2017-12-15 02:22:11,73503.59,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00077,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:12,2017-12-15 02:22:12,73503.59,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00078,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:13,2017-12-15 02:22:13,73503.59,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00079,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:14,2017-12-15 02:22:14,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00080,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:15,2017-12-15 02:22:15,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00081,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:16,2017-12-15 02:22:16,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00082,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:17,2017-12-15 02:22:17,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00083,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:18,2017-12-15 02:22:18,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00084,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-12-15 02:22:19,2017-12-15 02:22:19,73503.58,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
